1973,2
1974,21
1975,40
1976,62
1977,59
1978,112
1979,3
1981,27
1982,30
1983,18
1984,21
1985,3
1986,15
1987,28
1988,10
1989,37
1990,82
1991,76
1992,42
1993,1
1994,7
1996,10
